Project name,source,subid,Age [A],% TCPA Match [B],% Ad Copy Match [C],Distance Factor [D],Rate of Lead Ingestion [E],Trust Score (Normalized)
TT STMaTT,outshi,988,0.7666666666666666,0.8,0.6,0.3429806566860774,0.5,10.0
TT STMaTT,outwha,1006,0.55,0.4772727272727273,0.0,0.8427560425657733,1.0,6.033898305084746
TT STMaTT,outshi,988_Dupe,0.5666666666666667,0.125,0.125,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,1006,0.75,0.4772727272727273,0.0,0.8427560425657733,1.0,7.864406779661017
TT STMaTT,outwha,2188,0.6833333333333333,0.5,0.0,0.8427560425657733,0.5,7.589285714285714
TT STMaTT,outwha,2188,0.7333333333333333,0.5,0.0,0.8427560425657733,0.5,8.071428571428571
TT STMaTT,outwha,2523,0.7166666666666667,0.3333333333333333,0.0,0.8427560425657733,0.5,10.0
TT STMaTT,outwha,1006,0.6166666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.6440677966101696
TT STMaTT,outwha,1006,0.9666666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,9.847457627118644
TT STMaTT,outwha,1006,0.6166666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.6440677966101696
TT STMaTT,outlau,1522,0.75,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,4.375
TT STMaTT,outshi,988_Dupe,0.5666666666666667,0.125,0.125,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,1006,0.6166666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.6440677966101696
TT STMaTT,outshi,1209,0.7166666666666667,0.5,0.5,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,1006,0.6166666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.6440677966101696
TT STMaTT,outwha,1006,0.6166666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.6440677966101696
TT STMaTT,outwha,1006,0.9666666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,9.847457627118644
TT STMaTT,outwha,2523,0.7166666666666667,0.3333333333333333,0.0,0.8427560425657733,0.5,10.0
TT STMaTT,outlau,1734,0.6166666666666667,0.0,0.0,0.002604040546437196,0.5,1.0
TT STMaTT,outwha,1006,0.6166666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.6440677966101696
TT STMaTT,outshi,988_Dupe,0.5666666666666667,0.125,0.125,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,2027,0.55,0.0,0.0,0.8427560425657733,0.5,1.0
TT STMaTT,outlau,1947,0.9666666666666667,0.5,0.0,0.002604040546437196,0.5,10.0
TT STMaTT,outwha,1799,0.6166666666666667,0.625,0.0,0.8427560425657733,0.5,7.283018867924528
TT STMaTT,outlau,1734,0.6833333333333333,0.0,0.0,0.002604040546437196,0.5,10.0
TT STMaTT,outwha,1799,0.5666666666666667,0.625,0.0,0.8427560425657733,0.5,6.773584905660377
TT STMaTT,outwha,1799,0.65,0.625,0.0,0.8427560425657733,0.5,7.622641509433962
TT STMaTT,outwha,1799,0.6166666666666667,0.625,0.0,0.8427560425657733,0.5,7.283018867924528
TT STMaTT,outwha,1006,0.9833333333333333,0.4772727272727273,0.0,0.8427560425657733,1.0,10.0
TT STMaTT,outshi,988_Dupe,0.5666666666666667,0.125,0.125,0.3429806566860774,0.5,1.0
TT STMaTT,outlau,1734,0.6833333333333333,0.0,0.0,0.002604040546437196,0.5,10.0
TT STMaTT,outshi,988_Dupe,0.5666666666666667,0.125,0.125,0.3429806566860774,0.5,1.0
TT STMaTT,outshi,988_Dupe,0.5666666666666667,0.125,0.125,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,2464,0.6166666666666667,0.0,0.0,0.8427560425657733,0.5,10.0
TT STMaTT,outshi,988_Dupe,0.5666666666666667,0.125,0.125,0.3429806566860774,0.5,1.0
TT STMaTT,outshi,,0.6666666666666666,0.6923076923076923,0.07692307692307693,0.3429806566860774,0.5,5.666666666666667
TT STMaTT,outshi,1169_Dupe,0.6333333333333333,0.3333333333333333,0.0,0.3429806566860774,0.5,10.0
TT STMaTT,outwha,1006,0.9666666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,9.847457627118644
TT STMaTT,outwha,1006,0.6666666666666666,0.4772727272727273,0.0,0.8427560425657733,1.0,7.101694915254237
TT STMaTT,outshi,,0.43333333333333335,0.6923076923076923,0.07692307692307693,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,2464,0.5,0.0,0.0,0.8427560425657733,0.5,2.125
TT STMaTT,outshi,529_Dupe,0.5,0.5,0.5,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,1778,0.5,0.6,0.0,0.8427560425657733,0.5,2.8
TT STMaTT,outwha,1006,0.5666666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.186440677966102
TT STMaTT,outshi,1209,0.7333333333333333,0.5,0.5,0.3429806566860774,0.5,3.25
TT STMaTT,outlau,1803,0.9666666666666667,0.3333333333333333,0.3333333333333333,0.002604040546437196,0.5,10.0
TT STMaTT,outshi,1072_Dupe,0.7166666666666667,0.5,0.5,0.3429806566860774,0.5,10.0
TT STMaTT,outwha,2027,0.7666666666666666,0.0,0.0,0.8427560425657733,0.5,10.0
TT STMaTT,outwha,1786,0.9666666666666667,0.75,0.0,0.8427560425657733,0.5,10.0
TT STMaTT,outwha,1799,0.6166666666666667,0.625,0.0,0.8427560425657733,0.5,7.283018867924528
TT STMaTT,outwha,1006,0.45,0.4772727272727273,0.0,0.8427560425657733,1.0,5.11864406779661
TT STMaTT,outwha,2175,0.4666666666666667,0.3333333333333333,0.0,0.8427560425657733,0.5,1.0
TT STMaTT,outlau,1672,0.6666666666666666,0.5,0.5,0.002604040546437196,0.5,8.826086956521738
TT STMaTT,outwha,1770,0.6,0.5,0.0,0.8427560425657733,0.5,1.0
TT STMaTT,outwha,2175,0.4666666666666667,0.3333333333333333,0.0,0.8427560425657733,0.5,1.0
TT STMaTT,outlau,1672,0.7166666666666667,0.5,0.5,0.002604040546437196,0.5,9.41304347826087
TT STMaTT,outlau,1672,0.6666666666666666,0.5,0.5,0.002604040546437196,0.5,8.826086956521738
TT STMaTT,outshi,529,0.6833333333333333,0.5,0.0,0.3429806566860774,0.5,10.0
TT STMaTT,outwha,1006,0.55,0.4772727272727273,0.0,0.8427560425657733,1.0,6.033898305084746
TT STMaTT,outwha,1778,0.55,0.6,0.0,0.8427560425657733,0.5,8.2
TT STMaTT,outlau,1803,0.9666666666666667,0.3333333333333333,0.3333333333333333,0.002604040546437196,0.5,10.0
TT STMaTT,outlau,1672,0.6666666666666666,0.5,0.5,0.002604040546437196,0.5,8.826086956521738
TT STMaTT,outshi,1166,0.7666666666666666,0.5,0.0,0.3429806566860774,0.5,1.0
TT STMaTT,outwha,2413,0.5833333333333334,0.3333333333333333,0.0,0.8427560425657733,0.5,4.162162162162162
